words,hints
angry,"Feeling or showing strong annoyance, displeasure, or hostility; full of anger."
beautiful,Pleasing the senses or mind aesthetically.
brave,Ready to face and endure danger or pain; showing courage.
careful,"Making sure of avoiding potential danger, mishap, or harm; cautious."
careless,Not giving sufficient attention or thought to avoiding harm or errors.
clever,"Quick to understand, learn, and devise or apply ideas; intelligent."
crazy,"Mad, especially as manifested in wild or aggressive behaviour."
cute,Attractive in a pretty or endearing way.
dangerous,Able or likely to cause harm or injury.
exciting,Causing great enthusiasm and eagerness.
famous,Known about by many people.
friendly,Kind and pleasant.
happy,Feeling or showing pleasure or contentment.
interesting,Arousing curiosity or interest; holding or catching the attention.
lucky,"Having, bringing, or resulting from good luck."
old,Having lived for a long time; no longer young.
poor,Lacking sufficient money to live at a standard considered comfortable or normal in a society.
popular,Liked or admired by many people or by a particular person or group.
rich,Having a great deal of money or assets; wealthy.
sad,Feeling or showing sorrow; unhappy.
thin,With opposite surfaces or sides that are close or relatively close together.
ugly,"Unpleasant or repulsive, especially in appearance."
unlucky,"Having, bringing, or resulting from bad luck."
young,Having lived or existed for only a short time.
